1,69.03
2,71.27
3,73.27
4,76.2
5,77.57
6,79.14
7,81.14
8,83.14
9,85.28
10,86.79
11,87.49
12,89.91
13,90.91
14,92.8
15,94.74
16,96.94
17,97.98
18,99.28
19,102.29
20,103.23
21,104.25
22,105.25
23,106.43
24,107.14
25,108
26,109.03
27,110.25
28,112.82
29,113.91
30,115.07
31,116.35
32,117.98
33,118.91
34,119.19
35,120.48
36,121.28
37,122.68
38,123.16
39,124.91
40,125.81
41,127.32
42,128.62
43,130.1
44,131.02
45,131.92
46,132.76
47,133.78
48,134.7
49,135.62
50,136.38
51,136.83
52,137.24
53,138.15
54,139.05
55,139.48
56,139.83
57,140.48
58,141.48
59,142.75
60,143.22
61,143.42
62,144.62
63,145.83
64,147.03
65,148.56
66,149.1
67,149.18
68,150.55
69,150.95
70,151.35
71,151.75
72,152.15
73,152.74
74,153.34
75,153.94
76,154.53
77,154.6
78,155.02
79,155.45
80,156.78
81,155.35
82,156.1
83,156.85
84,159.14
85,157.33
86,158.38
87,159.43
88,160.48
89,161.53
90,162.58
91,163.03
92,163.49
93,164.45
94,163.76
95,164.59
96,165.43
97,166.26
98,166.04
99,166.61
100,167.17
101,167.73
102,168.3
103,168.86
104,169.9
